zac,zac_nazov,kon,kon_nazov,sekundy,km
14,"Be�?adiková,,rázc.",12,"Be�?adiková,,PD",89,1
14,"Be�?adiková,,rázc.",126,"Uhorská Ves,,rázc.",82,1
14,"Be�?adiková,,rázc.",144,"Lipt.Mikuláš,Stošice,rázc.",72,1
14,"Be�?adiková,,rázc.",145,"Lipt.Mikuláš,Okoličné,ZŠ",153,2
14,"Be�?adiková,,rázc.",187,"Podture�?,,žel.zast.",162,2
15,"Lipt.Beharovce,,Beníky rázc.",20,"Bobrovček,,OcÚ",85,1
15,"Lipt.Beharovce,,Beníky rázc.",97,"Lipt.Beharovce,,Beníkovský",216,2
15,"Lipt.Beharovce,,Beníky rázc.",183,"Pavlova Ves,,kult.dom",139,1
16,"Beše�?ová,,Jednota",17,"Beše�?ová,,hotel Sumit",126,0.2
16,"Beše�?ová,,Jednota",94,"Potok,,OcÚ",162,2
16,"Beše�?ová,,Jednota",465,"Beše�?ová,,bytovka 109",54,0.2
17,"Beše�?ová,,hotel Sumit",16,"Beše�?ová,,Jednota",108,0.2
17,"Beše�?ová,,hotel Sumit",94,"Potok,,OcÚ",162,2
17,"Beše�?ová,,hotel Sumit",128,"Lipt.Michal,,Jednota",108,1
17,"Beše�?ová,,hotel Sumit",369,"Lipt.Teplá,,Prefa",54,1
17,"Beše�?ová,,hotel Sumit",464,"Beše�?ová,,Sihoť",66,0.2
19,"Ivachnová,,rázc.",130,"Lipt.Michal,,rázc.",152,2
19,"Ivachnová,,rázc.",316,"Lipt.Sliače,,rázc.",157,3
19,"Ivachnová,,rázc.",364,"Lipt.Michal,,pod cintorínom",162,3
19,"Ivachnová,,rázc.",445,"Lisková,,križ.",162,4
20,"Bobrovček,,OcÚ",15,"Lipt.Beharovce,,Beníky rázc.",81,1
21,"Bobrovec,,Huraj",22,"Bobrovec,,OcÚ",71,1
21,"Bobrovec,,Huraj",24,"Bobrovec,,Škorupovo",108,2
21,"Bobrovec,,Huraj",26,"Bobrovec,,pošta",62,1
21,"Bobrovec,,Huraj",27,"Bobrovec,,rázc.",54,0.2
22,"Bobrovec,,OcÚ",21,"Bobrovec,,Huraj",75,1
22,"Bobrovec,,OcÚ",23,"Bobrovec,,Rakovica",54,0.2
22,"Bobrovec,,OcÚ",24,"Bobrovec,,Škorupovo",216,3
22,"Bobrovec,,OcÚ",25,"Bobrovec,,ZŠ",75,0.2
22,"Bobrovec,,OcÚ",27,"Bobrovec,,rázc.",54,1
22,"Bobrovec,,OcÚ",71,"Jalovec,,ZŠ",324,2
23,"Bobrovec,,Rakovica",22,"Bobrovec,,OcÚ",94,0.2
23,"Bobrovec,,Rakovica",25,"Bobrovec,,ZŠ",122,0.2
23,"Bobrovec,,Rakovica",211,"Trstené,,otoč.",135,1
23,"Bobrovec,,Rakovica",383,"Bobrovec,,Luhy",54,0.2
24,"Bobrovec,,Škorupovo",21,"Bobrovec,,Huraj",119,2
24,"Bobrovec,,Škorupovo",27,"Bobrovec,,rázc.",162,4
24,"Bobrovec,,Škorupovo",394,"Lipt.Mikuláš,Lipt.Ondrašová,kost.",62,1
24,"Bobrovec,,Škorupovo",408,"Lipt.Mikuláš,Lipt.Ondrašová,otoč.",54,0.2
25,"Bobrovec,,ZŠ",22,"Bobrovec,,OcÚ",77,0.2
25,"Bobrovec,,ZŠ",26,"Bobrovec,,pošta",54,0.2
25,"Bobrovec,,ZŠ",211,"Trstené,,otoč.",76,1
26,"Bobrovec,,pošta",23,"Bobrovec,,Rakovica",54,0.2
